MAMMALIA – СИСАРИ,,,,
"",Calidris ferruginea,Риђа спрутка,1-II; 2-II
"",Calidris minuta,Мала спрутка,1-II; 2-II
"",Calidris pugnax,Спрудник убојица,"1-III; 2-II; 5-I, II/Б"
"",Calidris temminckii,Седа спрутка,1-II; 2-II
"",Gallinago gallinago,Барска шљука,"1-III; 2-II; 5-II/А, III/Б"
"",Gallinago media,Шљука ливадарка,1-II; 2-II; 5-I
"",Limosa limosa,Муљача,"1-III; 2-II;5-II/Б"
"",Limosa lapponica,Лапонска муљача,"1-III; 2-II; 5-I, II/Б"
"",Lymnocryptes minimus,Мала шљука,"1-III; 2-II; 5-II/А, III/Б"
"",Numenius arquata,Велика царска шљука,"1-III; 2-II;5-II/Б"
"",Numenius phaeopus,Мала царска шљука,"1-III; 2-II;5-II/Б"
"",Numenius tenuirostris,Танкокљуна царска шљука,"1-II; 2-I,II; 3-I; 5-I"
"",Phalaropus fulicarius,Сива лисконога,1-II; 2-II
"",Phalaropus lobatus,Црвеноврата лисконога,1-II; 2-II; 5-I
"",Scolopax rusticola,Шумска шљука,"**; 1-III; 2-II; 5-II/А, III/Б"
"",Tringa erithropus,Црни спрудник,"1-III; 2-II;5-II/Б"
"",Tringa glareola,Спрудник мигавац,1-II; 2-II; 5-I
"",Tringa nebularia,Кривокљуни спрудник,"1-III; 2-II;5-II/Б"
"",Tringa ochropus,Спрудник пијукавац,1-II; 2-II
"",Tringa stagnatilis,Танкокљуни спрудник,1-II; 2-II
"",Tringa totanus,Црвеноноги спрудник,"1-III; 2-II;5-II/Б"
"Stercorariidae(поморници)",Catharacta skua,Велики поморник,1-III
"",Stercorarius longicaudus,Дугорепи поморник,1-III
"",Stercorarius parasiticus,Краткорепи поморник,1-III
"",Stercorarius pomarinus,Виторепи поморник,1-III
"Sternidae(чигре)",Chlidonias hybrida,Белобрка чигра,1-II; 5-I
Chlidonias leucopterus,Белокрила чигра,1-II; 2-II,
Chlidonias niger,Црна чигра,1-II; 2-II; 5-I,
Gelochelidon nilotica,Дебелокљуна чигра,1-II; 2-II; 5-I,
Hydroprogne caspia,Велика чигра,1-II; 2-II; 5-I,
Sternula albifrons,Мала чигра,1-II; 2-II; 5-I,
Sterna hirundo,Обична чигра,1-II; 2-II; 5-I,
Ardea alba,Велика бела чапља,1-II; 2-II; 3-III; 5-I,
Ardea purpurea,Црвена чапља,1-II; 2-II; 5-I,
Ardeola ralloides,Жута чапља,1-II; 5-I,
Botaurus stellaris,Водени бик,,
"",,Bubulcus ibis,Чапља говедарка,1-II; 3-III
"",,Egretta garzetta,Мала бела чапља,1-II; 3-III; 5-I
"",,Ixobrychus minutus,Чапљица,1-II; 2-II; 5-I
"",,Nycticorax nycticorax,Гак,1-II; 5-I
"","Ciconiidae(роде)",Ciconia ciconia,Бела рода,1-II; 2-II; 5-I
"",,Ciconia nigra,Црна рода,1-II; 2-II; 3-II; 5-I
"","Phoenicopteridae(пламенци)",Phoenicopterus roseus,Пламенац,1-II; 2-II; 3-II; 5-1
"","Threskiornithidae(ражњеви)",Platelea leucorodia,Кашичар,1-II; 2-II; 3-II; 5-I
"",,Plegadis falcinellus,Ражањ,1-II; 2-II; 5-I
"COLUMBIFORMES(ГОЛУБОВИ)","Columbidae(голубови)",Columba livia,Дивљи голуб,1-III; 3-III; 5-II/А
"",,Columba oenas,Голуб дупљаш,1-III; 5-II/Б
"CORACIIFORMES(МОДРОВРАНЕ,ВОДОМАРИИСРОДНИЦИ)","Alcedinidae(водомари)",Alcedo atthis,Водомар,1-II; 5-I
