,taxon.name,taxon.id,taxon.rank,count,taxon.observations_count,taxon.ancestor_ids
64,Daedaleopsis confragosa,124102,species,11897,11950,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 124103, 124102]"
65,Tubaria furfuracea,55573,species,11841,11916,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 416523, 55575, 1462139, 55573]"
66,Apiosporina morbosa,58700,species,11837,11856,"[48460, 47170, 48250, 372740, 55174, 504101, 58702, 58703, 58700]"
67,Amanita bisporigera,125390,species,11637,11694,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142598, 926048, 125390]"
68,Trametes sanguinea,974664,species,11508,11636,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 974664]"
69,Trametes betulina,786918,species,11447,11489,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 786918]"
70,Agaricus campestris,143563,species,11224,11344,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 49548, 824801, 844123, 143563]"
71,Omphalotus illudens,126831,species,11161,11263,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 64014, 126831]"
72,Agrocybe pediades,118393,species,11143,11226,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 416512, 118395, 118393]"
73,Calvatia gigantea,57692,species,11102,11191,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48445, 57693, 57692]"
74,Galerina marginata,154735,species,11098,11148,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 416512, 118297, 154735]"
75,Cladonia rangiferina,119778,species,11079,11137,"[48460, 47170, 48250, 372740, 54743, 952186, 48327, 49489, 49490, 119778]"
76,Mycena leaiana,128516,species,11051,11121,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 55922, 128516]"
77,Leccinum scabrum,63232,species,10935,10997,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1199038, 54203, 1397470, 63232]"
78,Merulius tremellosus,179113,species,10748,10781,"[48460, 47170, 47169, 492000, 50814, 47380, 118046, 179117, 179113]"
79,Auricularia auricula-judae,50813,species,10707,10760,"[48460, 47170, 47169, 492000, 50814, 50815, 50816, 50817, 1138427, 50813]"
80,Leratiomyces ceres,121217,species,10638,10694,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48768, 53282, 121217]"
81,Ganoderma sessile,350821,species,10540,10619,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 48475, 1106981, 350821]"
82,Irpex lacteus,130910,species,10345,10373,"[48460, 47170, 47169, 492000, 50814, 47380, 964622, 130927, 130910]"
83,Bjerkandera adusta,118038,species,10144,10180,"[48460, 47170, 47169, 492000, 50814, 47380, 118075, 118047, 118038]"
84,Fuscoporia gilva,896124,species,10115,10156,"[48460, 47170, 47169, 492000, 50814, 57519, 57518, 328266, 896124]"
85,Hygrophoropsis aurantiaca,63538,species,10076,10118,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 63542, 63543, 63538]"
86,Paxillus involutus,55941,species,9820,9872,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 1432578, 55942, 55943, 1397925, 55941]"
87,Trametes cinnabarina,974663,species,9767,9807,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 974663]"
88,Rusavskia elegans,532267,species,9727,9737,"[48460, 47170, 48250, 372740, 54743, 952186, 54755, 54756, 1232042, 532755, 532267]"
89,Strobilomyces strobilaceus,352462,species,9693,9747,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 125713, 352462]"
90,Gloeophyllum sepiarium,67338,species,9642,9684,"[48460, 47170, 47169, 492000, 50814, 67339, 67340, 67341, 67338]"
91,Cladonia fimbriata,179037,species,9599,9650,"[48460, 47170, 48250, 372740, 54743, 952186, 48327, 49489, 49490, 179037]"
92,Gymnosporangium juniperi-virginianae,121687,species,9559,9608,"[48460, 47170, 47169, 416490, 69967, 69968, 1151342, 1151238, 121688, 121687]"
93,Exidia crenata,879877,species,9500,9524,"[48460, 47170, 47169, 492000, 50814, 50815, 50816, 55569, 1152051, 879877]"
94,Russula rosacea,154869,species,9467,9540,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 48339, 1167950, 1483299, 1396170, 154869]"
95,Phlyctis argena,182631,species,9459,9495,"[48460, 47170, 48250, 372740, 54743, 793487, 117956, 175458, 175440, 182631]"
96,Gymnopus dryophilus,130915,species,9437,9480,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 55293, 1134711, 130915]"
97,Trametes ochracea,118111,species,9202,9260,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 1153556, 118111]"
98,Cladonia coniocraea,155093,species,9167,9199,"[48460, 47170, 48250, 372740, 54743, 952186, 48327, 49489, 49490, 155093]"
99,Ischnoderma resinosum,130919,species,9163,9207,"[48460, 47170, 47169, 492000, 50814, 47380, 1415514, 130931, 130919]"
100,Protoparmeliopsis muralis,632126,species,9158,9166,"[48460, 47170, 48250, 372740, 54743, 952186, 48327, 50253, 532707, 632126]"
101,Physcia adscendens,124439,species,8968,8979,"[48460, 47170, 48250, 372740, 54743, 952186, 372828, 60717, 117887, 124439]"
102,Panellus stipticus,68309,species,8829,8855,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 68308, 68309]"
103,Leucoagaricus leucothites,179125,species,8799,8858,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 119985, 179125]"
104,Calycina citrina,955949,species,8790,8804,"[48460, 47170, 48250, 372740, 55523, 49073, 791564, 359415, 955949]"
105,Clitocybe nebularis,63255,species,8785,8862,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1155395, 1128513, 54625, 63255]"
106,Russula brevipes,118179,species,8776,8799,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 48339, 1167951, 1397334, 118179]"
107,Hexagonia hydnoides,202438,species,8763,8832,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 202454, 202438]"
108,Ductifera pululahuana,320321,species,8749,8786,"[48460, 47170, 47169, 492000, 50814, 50815, 320322, 320321]"
109,Rhytisma acerinum,130935,species,8737,8755,"[48460, 47170, 48250, 372740, 55523, 125771, 125772, 130943, 130935]"
110,Tyromyces chioneus,130946,species,8732,8779,"[48460, 47170, 47169, 492000, 50814, 47380, 975893, 130948, 130946]"
111,Herpothallon rubrocinctum,464189,species,8589,8610,"[48460, 47170, 48250, 372740, 152028, 55452, 117928, 463096, 464189]"
112,Ramaria stricta,54228,species,8550,8654,"[48460, 47170, 47169, 492000, 50814, 891028, 55154, 48710, 48707, 1478431, 54228]"
113,Calocera viscosa,63405,species,8509,8551,"[48460, 47170, 47169, 492000, 53277, 53278, 53279, 63408, 63405]"
114,Hericium erinaceus,49158,species,8486,8562,"[48460, 47170, 47169, 492000, 50814, 48341, 49159, 49160, 49158]"
115,Ramalina farinacea,54758,species,8465,8485,"[48460, 47170, 48250, 372740, 54743, 952186, 48327, 48326, 48325, 54758]"
116,Neofavolus alveolaris,496176,species,8465,8487,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 496175, 496176]"
117,Usnea hirta,182679,species,8408,8448,"[48460, 47170, 48250, 372740, 54743, 952186, 48327, 54321, 1094690, 67747, 182679]"
118,Ganoderma curtisii,335051,species,8381,8416,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 48475, 1106981, 335051]"
119,Mycena haematopus,63460,species,8379,8427,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 55922, 63460]"
120,Dacrymyces spathularia,1426765,species,8371,8420,"[48460, 47170, 47169, 492000, 53277, 53278, 53279, 53280, 1426765]"
121,Letharia vulpina,54613,species,8323,8341,"[48460, 47170, 48250, 372740, 54743, 952186, 48327, 54321, 1094690, 54623, 54613]"
122,Clavulina coralloides,63260,species,8282,8311,"[48460, 47170, 47169, 492000, 50814, 47350, 48423, 63266, 63260]"
123,Exidia glandulosa,55568,species,8278,8313,"[48460, 47170, 47169, 492000, 50814, 50815, 50816, 55569, 55568]"
124,Cladonia cristatella,119669,species,8205,8242,"[48460, 47170, 48250, 372740, 54743, 952186, 48327, 49489, 49490, 119669]"
125,Laetiporus cincinnatus,487301,species,8171,8239,"[48460, 47170, 47169, 492000, 50814, 47380, 895657, 48431, 487301]"
